0.47955,1.1498e-12,-0.20984,0.0031588,-0.046644,0.51621,-0.077049,0.2831,0.14734,0.039325,0.2711,0.00012135
0.095776,0.18176,-0.04259,0.55337,-0.14149,0.04791,-0.35822,2.5355e-07,0.10343,0.14913,0.11706,0.10228
-0.11382,0.11219,-0.090021,0.20956,0.31582,6.5096e-06,0.13358,0.061976,-0.020554,0.77492,-0.16589,0.020138
0.062989,0.38044,-0.042379,0.55534,-0.04752,0.50836,-0.0057606,0.93613,-0.033379,0.64233,-0.13285,0.063414
0.081146,0.25821,-0.15929,0.025742,-0.058505,0.41534,-0.20097,0.0047353,-0.0014279,0.98415,-0.061906,0.38871
0.17303,0.015296,-0.19489,0.0061935,0.11049,0.12315,-0.010729,0.88135,0.054581,0.44736,-0.062396,0.38496
-0.50301,5.7601e-14,0.15108,0.034532,0.02623,0.71516,-0.31114,9.0451e-06,-0.080716,0.26074,0.0070139,0.92228
-0.17233,0.015723,0.092642,0.19654,-0.089816,0.2106,0.021785,0.76183,0.11699,0.10248,-0.04363,0.54372
0.053877,0.45326,-0.056595,0.43076,-0.026232,0.71514,-0.21706,0.0022437,0.041848,0.56031,-0.03815,0.59551
0.092821,0.19567,-0.14249,0.046344,-0.067543,0.34689,-0.070099,0.32891,0.051684,0.47187,-0.060664,0.39831
-0.05854,0.41506,-0.07967,0.26699,-0.056838,0.42878,-0.15824,0.026753,0.10403,0.14678,-0.1067,0.13663
-0.47153,3.041e-12,0.18017,0.011506,-0.0015799,0.98247,-0.32444,3.4974e-06,-0.13015,0.069043,-0.13239,0.064343
-0.22614,0.0014369,-0.012307,0.86406,-0.10087,0.1595,-0.074377,0.30017,0.054088,0.45149,-0.057424,0.42402
0.0076116,0.91568,-0.00022119,0.99754,0.15428,0.03085,0.21394,0.0026043,0.0019705,0.97813,0.025912,0.71847
-0.33768,1.2974e-06,0.20312,0.0043002,-0.0061485,0.93184,0.083217,0.24621,0.11099,0.12147,-0.080792,0.2603
-0.3606,2.0826e-07,0.10124,0.15799,0.12088,0.091464,-0.21721,0.0022281,-0.090819,0.20553,-0.087827,0.22092
0.035436,0.62195,0.056433,0.43208,-0.064926,0.36594,-0.27029,0.00012743,-0.045103,0.53018,-0.10556,0.14087
0.02968,0.67964,-0.15773,0.027245,-0.032861,0.6475,-0.19323,0.0066581,0.05947,0.40768,-0.13942,0.051309
0.4271,4.296e-10,-0.10706,0.13528,-0.10371,0.14803,0.14834,0.037985,-0.060924,0.39629,0.18689,0.0087199
